education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,debt_to_income_ratio,total_assets_value,loan_to_asset_ratio
1,1,9000000,31500000,10,850,0,3.5,75900000,0.4150197628458498
1,0,9800000,25300000,12,313,1,2.5816326530612246,60200000,0.420265780730897
0,0,5700000,12000000,6,363,1,2.1052631578947367,37000000,0.32432432432432434
1,1,800000,1600000,10,436,1,2.0,4100000,0.3902439024390244
1,1,8400000,22000000,2,830,0,2.619047619047619,33000000,0.6666666666666666
0,0,4900000,11900000,8,612,0,2.4285714285714284,35700000,0.3333333333333333
0,1,1700000,3400000,8,691,0,2.0,12400000,0.27419354838709675
1,0,1600000,6200000,18,636,0,3.875,10800000,0.5740740740740741
0,1,8000000,27200000,6,348,1,3.4,30500000,0.8918032786885246
0,0,3600000,7700000,16,830,0,2.138888888888889,21200000,0.3632075471698113
1,1,1500000,5100000,6,352,1,3.4,6800000,0.75
0,0,7800000,18100000,2,712,0,2.3205128205128207,50500000,0.3584158415841584
1,0,9100000,24900000,16,822,0,2.7362637362637363,70600000,0.3526912181303116
0,0,1400000,3400000,6,540,1,2.4285714285714284,6400000,0.53125
0,1,800000,2300000,12,342,1,2.875,6100000,0.3770491803278688
0,0,6500000,13400000,18,787,0,2.0615384615384613,40100000,0.3341645885286783
0,0,8000000,27800000,16,331,1,3.475,51600000,0.5387596899224806
1,1,4200000,14600000,6,679,0,3.4761904761904763,22900000,0.6375545851528385
0,1,4900000,19100000,14,677,0,3.8979591836734695,38700000,0.4935400516795866
1,0,5500000,20500000,12,634,0,3.727272727272727,36100000,0.5678670360110804
1,1,9500000,19100000,16,662,0,2.0105263157894737,60000000,0.31833333333333336
0,0,7300000,25400000,16,502,1,3.4794520547945207,33300000,0.7627627627627628
0,0,8700000,24700000,10,435,1,2.839080459770115,43400000,0.5691244239631337
1,0,3800000,7600000,4,689,0,2.0,21500000,0.35348837209302325
1,1,8400000,23000000,12,657,0,2.738095238095238,70300000,0.32716927453769556
0,1,5100000,19700000,20,590,0,3.8627450980392157,39500000,0.49873417721518987
1,0,6700000,24500000,12,818,0,3.656716417910448,29300000,0.8361774744027304
1,0,4300000,10600000,18,431,1,2.4651162790697674,18100000,0.585635359116022
0,1,9300000,30500000,18,841,0,3.2795698924731185,72900000,0.41838134430727025
0,0,7400000,18400000,20,421,1,2.4864864864864864,49200000,0.37398373983739835
1,1,5500000,18200000,16,797,0,3.309090909090909,28400000,0.6408450704225352
1,0,8500000,18900000,18,478,1,2.223529411764706,77400000,0.2441860465116279
1,1,9600000,30500000,18,669,0,3.1770833333333335,42400000,0.7193396226415094
1,1,8800000,28900000,6,365,1,3.284090909090909,65100000,0.44393241167434716
1,1,3300000,7500000,20,586,0,2.272727272727273,20600000,0.3640776699029126
0,1,3900000,12300000,18,784,0,3.1538461538461537,30400000,0.40460526315789475
0,0,4100000,10300000,12,364,1,2.5121951219512195,33300000,0.30930930930930933
1,0,8300000,29100000,10,715,0,3.5060240963855422,54000000,0.5388888888888889
1,1,2700000,10100000,20,693,1,3.740740740740741,9200000,1.0978260869565217
0,0,5600000,12400000,4,777,0,2.2142857142857144,25900000,0.47876447876447875
0,0,1900000,5000000,12,312,1,2.6315789473684212,14100000,0.3546099290780142
1,1,500000,1500000,20,340,1,3.0,2800000,0.5357142857142857
0,1,5300000,18600000,4,386,0,3.509433962264151,28500000,0.6526315789473685
1,0,7000000,18300000,4,418,1,2.6142857142857143,59200000,0.3091216216216216
1,1,5800000,16700000,16,735,0,2.8793103448275863,31500000,0.5301587301587302
1,0,2600000,8400000,6,494,1,3.230769230769231,17900000,0.4692737430167598
1,0,1900000,6500000,18,671,0,3.4210526315789473,9000000,0.7222222222222222
0,0,5700000,14800000,16,697,0,2.5964912280701755,41300000,0.3583535108958838
0,0,9000000,33500000,8,801,0,3.7222222222222223,67000000,0.5
1,0,8500000,29400000,12,576,0,3.458823529411765,57400000,0.5121951219512195
1,0,700000,1400000,14,639,0,2.0,5900000,0.23728813559322035
0,0,3500000,8900000,4,470,1,2.5428571428571427,17800000,0.5
1,0,8800000,31200000,4,826,0,3.5454545454545454,45300000,0.6887417218543046
1,1,9900000,21200000,16,363,1,2.1414141414141414,70300000,0.3015647226173542
0,0,3600000,8600000,20,613,0,2.388888888888889,23300000,0.36909871244635195
1,1,3000000,8200000,16,713,0,2.7333333333333334,25500000,0.3215686274509804
0,0,6800000,21200000,16,439,1,3.1176470588235294,48700000,0.4353182751540041
1,1,1100000,3800000,18,387,1,3.4545454545454546,7900000,0.4810126582278481
1,1,8700000,28300000,8,402,1,3.2528735632183907,72100000,0.3925104022191401
0,1,2000000,8000000,6,837,0,4.0,14500000,0.5517241379310345
1,0,9800000,37600000,10,641,0,3.836734693877551,55100000,0.6823956442831216
0,0,5700000,21100000,18,489,1,3.7017543859649122,23300000,0.9055793991416309
0,0,8800000,20700000,18,540,1,2.352272727272727,57500000,0.36
0,0,3800000,8900000,4,844,0,2.3421052631578947,30400000,0.29276315789473684
0,0,1700000,6400000,10,452,1,3.764705882352941,9700000,0.6597938144329897
0,0,1000000,2000000,10,366,1,2.0,6100000,0.32786885245901637
0,0,300000,1100000,2,300,0,3.6666666666666665,1700000,0.6470588235294118
0,1,6600000,15000000,18,470,1,2.272727272727273,31200000,0.4807692307692308
1,0,8700000,25000000,20,861,0,2.8735632183908044,53700000,0.4655493482309125
0,0,9400000,29400000,12,562,0,3.127659574468085,84600000,0.3475177304964539
0,0,4400000,10800000,14,463,1,2.4545454545454546,25700000,0.42023346303501946
1,0,400000,900000,12,478,1,2.25,2100000,0.42857142857142855
1,1,300000,1100000,2,702,0,3.6666666666666665,1200000,0.9166666666666666
1,1,4300000,12900000,20,618,0,3.0,28800000,0.4479166666666667
0,0,1600000,4500000,12,633,0,2.8125,8400000,0.5357142857142857
1,1,6200000,23600000,10,331,1,3.806451612903226,61300000,0.38499184339314846
1,1,4200000,9700000,16,841,0,2.3095238095238093,29900000,0.32441471571906355
1,1,9000000,18100000,12,764,0,2.011111111111111,49500000,0.3656565656565657
0,0,2700000,10600000,6,591,0,3.925925925925926,15700000,0.6751592356687898
0,1,9700000,35900000,2,719,0,3.7010309278350517,58500000,0.6136752136752137
0,0,3300000,6800000,14,317,1,2.0606060606060606,19000000,0.35789473684210527
1,0,300000,1100000,8,778,0,3.6666666666666665,2000000,0.55
0,1,7400000,18200000,14,302,1,2.4594594594594597,31600000,0.5759493670886076
1,0,7100000,19700000,8,502,1,2.7746478873239435,48000000,0.41041666666666665
1,1,7300000,22100000,18,879,0,3.0273972602739727,59200000,0.3733108108108108
1,0,8400000,23400000,14,437,1,2.7857142857142856,62700000,0.37320574162679426
1,1,3300000,10800000,12,797,0,3.272727272727273,17600000,0.6136363636363636
1,1,5800000,23200000,18,456,1,4.0,50400000,0.4603174603174603
1,0,600000,1600000,6,647,0,2.6666666666666665,4300000,0.37209302325581395
1,0,7200000,15800000,12,379,1,2.1944444444444446,50000000,0.316
1,1,9100000,32900000,2,717,0,3.6153846153846154,33700000,0.9762611275964391
0,0,900000,2300000,16,545,1,2.5555555555555554,3800000,0.6052631578947368
0,0,800000,3200000,8,317,1,4.0,4200000,0.7619047619047619
1,0,8500000,32900000,10,570,0,3.8705882352941177,37300000,0.8820375335120644
1,1,9000000,18700000,18,865,0,2.077777777777778,59000000,0.3169491525423729
0,0,7000000,19500000,14,719,0,2.7857142857142856,50900000,0.3831041257367387
0,0,200000,600000,16,821,0,3.0,1100000,0.5454545454545454
1,1,400000,800000,10,859,0,2.0,2400000,0.3333333333333333
1,0,5100000,18200000,10,395,1,3.5686274509803924,29900000,0.6086956521739131
1,1,700000,2600000,12,429,1,3.7142857142857144,6400000,0.40625
0,0,400000,1200000,12,861,0,3.0,2100000,0.5714285714285714
1,1,9500000,20800000,14,565,0,2.1894736842105265,74300000,0.27994616419919244
0,0,8800000,22600000,10,357,1,2.5681818181818183,39600000,0.5707070707070707
1,1,1800000,3600000,18,465,1,2.0,9100000,0.3956043956043956
1,1,6800000,13900000,8,479,1,2.0441176470588234,56100000,0.24777183600713013
1,0,1500000,5500000,16,717,0,3.6666666666666665,8600000,0.6395348837209303
0,0,1600000,5500000,12,425,1,3.4375,7700000,0.7142857142857143
1,0,4600000,16700000,2,786,0,3.630434782608696,26100000,0.6398467432950191
1,1,2200000,6700000,6,382,1,3.0454545454545454,15400000,0.43506493506493504
1,1,2900000,8500000,12,564,0,2.9310344827586206,13400000,0.6343283582089553
0,0,200000,700000,8,501,1,3.5,1500000,0.4666666666666667
1,1,2500000,9400000,10,727,0,3.76,23500000,0.4
1,0,3600000,7500000,6,894,0,2.0833333333333335,17800000,0.42134831460674155
0,1,5500000,16700000,18,829,0,3.036363636363636,25500000,0.6549019607843137
1,0,6600000,17400000,20,506,1,2.6363636363636362,45700000,0.38074398249452956
0,1,8600000,32100000,6,802,0,3.7325581395348837,60400000,0.5314569536423841
1,0,600000,1500000,14,543,1,2.5,3600000,0.4166666666666667
0,1,1400000,3200000,20,772,0,2.2857142857142856,10000000,0.32
0,0,4000000,11100000,12,572,0,2.775,24700000,0.4493927125506073
1,1,4900000,11900000,16,709,0,2.4285714285714284,37800000,0.3148148148148148
0,0,2000000,6200000,18,402,1,3.1,14400000,0.4305555555555556
1,1,5200000,19300000,8,481,1,3.7115384615384617,46800000,0.41239316239316237
0,1,8900000,28800000,6,772,0,3.235955056179775,47900000,0.6012526096033403
0,1,6500000,20600000,2,306,0,3.169230769230769,39100000,0.5268542199488491
1,0,1300000,4500000,6,415,1,3.4615384615384617,5000000,0.9
1,0,9400000,35000000,16,548,1,3.723404255319149,63500000,0.5511811023622047
1,0,5000000,11200000,8,701,0,2.24,28200000,0.3971631205673759
0,0,3000000,7700000,12,890,0,2.566666666666667,19500000,0.39487179487179486
1,1,9900000,33300000,6,364,1,3.3636363636363638,60100000,0.5540765391014975
0,1,700000,1300000,20,704,0,1.8571428571428572,4400000,0.29545454545454547
0,1,4000000,10600000,10,318,1,2.65,19500000,0.5435897435897435
1,0,3100000,9600000,2,761,0,3.096774193548387,22200000,0.43243243243243246
1,0,4500000,15100000,6,693,0,3.3555555555555556,29000000,0.5206896551724138
1,0,9700000,20600000,16,524,1,2.1237113402061856,68800000,0.29941860465116277
1,1,2000000,5300000,10,681,0,2.65,13500000,0.3925925925925926
0,1,8100000,22300000,18,737,0,2.753086419753086,69200000,0.3222543352601156
1,0,5700000,15900000,16,638,0,2.789473684210526,30400000,0.5230263157894737
1,0,5800000,12800000,2,656,0,2.206896551724138,24300000,0.5267489711934157
0,0,1800000,6500000,6,540,1,3.611111111111111,11800000,0.5508474576271186
1,1,9100000,35200000,6,341,1,3.868131868131868,32600000,1.0797546012269938
1,1,4800000,17500000,2,371,0,3.6458333333333335,40700000,0.42997542997543
1,1,3800000,10500000,12,886,0,2.763157894736842,21700000,0.4838709677419355
1,0,1900000,4100000,18,801,0,2.1578947368421053,7200000,0.5694444444444444
1,1,3600000,9500000,16,748,0,2.638888888888889,22400000,0.42410714285714285
1,1,7400000,28200000,8,376,1,3.810810810810811,49500000,0.5696969696969697
1,1,6600000,14300000,8,371,1,2.1666666666666665,46200000,0.30952380952380953
0,0,1800000,5300000,6,826,0,2.9444444444444446,13000000,0.4076923076923077
1,0,9200000,27200000,12,873,0,2.9565217391304346,51500000,0.5281553398058253
1,1,2400000,8600000,8,309,1,3.5833333333333335,9600000,0.8958333333333334
1,0,5600000,13300000,20,869,0,2.375,37300000,0.35656836461126007
0,0,3800000,13900000,12,534,1,3.6578947368421053,18600000,0.7473118279569892
1,1,4500000,17900000,6,787,0,3.977777777777778,31900000,0.5611285266457681
0,1,900000,2200000,16,566,0,2.4444444444444446,3400000,0.6470588235294118
1,0,2800000,9900000,8,742,0,3.5357142857142856,14600000,0.678082191780822
1,0,7500000,23100000,4,824,0,3.08,58800000,0.39285714285714285
0,0,1400000,3100000,14,575,0,2.2142857142857144,11400000,0.2719298245614035
0,1,3800000,10900000,10,766,0,2.8684210526315788,17400000,0.6264367816091954
1,1,1700000,5000000,10,888,0,2.9411764705882355,10100000,0.49504950495049505
0,1,9000000,30400000,6,638,0,3.3777777777777778,63900000,0.4757433489827856
1,1,7300000,23300000,6,622,0,3.191780821917808,55600000,0.41906474820143885
1,0,7400000,19800000,18,458,1,2.675675675675676,50500000,0.3920792079207921
1,0,9000000,28200000,16,327,1,3.1333333333333333,39200000,0.7193877551020408
1,0,3000000,6500000,2,612,0,2.1666666666666665,20600000,0.3155339805825243
0,0,800000,2900000,8,682,0,3.625,6900000,0.42028985507246375
0,0,4800000,13200000,2,583,0,2.75,34200000,0.38596491228070173
1,0,6400000,18300000,8,697,0,2.859375,39700000,0.4609571788413098
0,0,9200000,27100000,12,306,1,2.9456521739130435,54900000,0.4936247723132969
1,1,400000,1500000,2,669,0,3.75,2100000,0.7142857142857143
1,0,2800000,6000000,18,816,0,2.142857142857143,21900000,0.273972602739726
1,1,8500000,28900000,20,455,1,3.4,52900000,0.5463137996219282
0,1,4700000,16400000,10,318,1,3.4893617021276597,40000000,0.41
1,1,9800000,21200000,20,355,1,2.163265306122449,77100000,0.27496757457846954
1,1,3800000,8900000,16,389,1,2.3421052631578947,20200000,0.4405940594059406
0,0,500000,1500000,2,888,0,3.0,3900000,0.38461538461538464
0,1,6900000,15600000,6,352,1,2.260869565217391,50900000,0.30648330058939094
1,1,9600000,30100000,12,870,0,3.1354166666666665,50800000,0.59251968503937
1,0,2900000,6500000,18,827,0,2.2413793103448274,22500000,0.28888888888888886
0,0,9800000,20900000,12,768,0,2.13265306122449,65600000,0.31859756097560976
0,0,7100000,15400000,18,707,0,2.1690140845070425,46500000,0.3311827956989247
1,1,7700000,19100000,10,355,1,2.4805194805194803,44700000,0.4272930648769575
0,0,1400000,3300000,2,652,0,2.357142857142857,7600000,0.4342105263157895
0,0,7800000,15900000,2,665,0,2.0384615384615383,47900000,0.33194154488517746
1,1,1700000,6000000,18,420,1,3.5294117647058822,8100000,0.7407407407407407
1,0,8500000,32700000,18,471,1,3.847058823529412,68400000,0.4780701754385965
1,0,1900000,7500000,20,715,0,3.9473684210526314,17200000,0.436046511627907
1,1,6700000,15200000,10,689,0,2.2686567164179103,30000000,0.5066666666666667
0,1,6900000,16400000,4,787,0,2.3768115942028984,47400000,0.3459915611814346
0,0,2600000,7800000,4,819,0,3.0,14600000,0.5342465753424658
0,1,9600000,21100000,6,809,0,2.1979166666666665,69000000,0.30579710144927535
1,1,6800000,17000000,2,744,0,2.5,46600000,0.3648068669527897
1,0,3200000,11300000,6,484,1,3.53125,19600000,0.576530612244898
1,0,2900000,10400000,6,673,0,3.586206896551724,19100000,0.5445026178010471
0,1,7900000,21200000,18,695,0,2.6835443037974684,51100000,0.41487279843444225
1,1,3900000,12400000,12,473,1,3.1794871794871793,28000000,0.44285714285714284
0,1,4600000,11000000,2,491,1,2.391304347826087,32600000,0.3374233128834356
1,1,700000,1700000,8,733,0,2.4285714285714284,4900000,0.3469387755102041
1,0,5200000,15600000,20,434,1,3.0,43500000,0.3586206896551724
1,1,5900000,20600000,10,777,0,3.4915254237288136,34100000,0.6041055718475073
0,0,7200000,19100000,4,774,0,2.6527777777777777,37900000,0.503957783641161
1,1,8700000,27000000,10,717,0,3.103448275862069,60700000,0.44481054365733114
1,1,1100000,3500000,12,503,1,3.1818181818181817,6800000,0.5147058823529411
0,1,4000000,10900000,14,598,0,2.725,28200000,0.38652482269503546
0,0,9800000,32400000,2,543,0,3.306122448979592,75100000,0.43142476697736354
1,1,2700000,6800000,20,796,0,2.5185185185185186,13800000,0.4927536231884058
1,1,8800000,34600000,8,386,1,3.9318181818181817,55700000,0.6211849192100538
1,1,3300000,7800000,16,632,0,2.3636363636363638,21000000,0.37142857142857144
0,1,6900000,23400000,4,481,0,3.391304347826087,53400000,0.43820224719101125
0,1,900000,3500000,4,770,1,3.888888888888889,3300000,1.0606060606060606
0,1,4100000,15500000,6,667,0,3.7804878048780486,23100000,0.670995670995671
1,1,4700000,17500000,8,585,0,3.723404255319149,18800000,0.9308510638297872
0,1,3400000,11600000,16,479,1,3.411764705882353,28500000,0.4070175438596491
0,0,9600000,22500000,18,851,0,2.34375,60600000,0.3712871287128713
1,1,7000000,16200000,6,378,1,2.3142857142857145,58400000,0.2773972602739726
0,0,5700000,12900000,18,807,0,2.263157894736842,29100000,0.44329896907216493
1,1,8200000,32400000,18,831,0,3.951219512195122,60600000,0.5346534653465347
1,0,2100000,5100000,12,674,0,2.4285714285714284,14200000,0.3591549295774648
1,1,8000000,28100000,18,725,0,3.5125,45200000,0.6216814159292036
1,0,8000000,29300000,4,600,0,3.6625,65600000,0.44664634146341464
1,1,9400000,27000000,10,536,1,2.872340425531915,44700000,0.6040268456375839
0,0,8400000,20600000,10,477,1,2.4523809523809526,39900000,0.5162907268170426
1,1,1900000,5000000,6,560,0,2.6315789473684212,10600000,0.4716981132075472
1,1,4200000,16400000,20,539,1,3.9047619047619047,26100000,0.6283524904214559
0,0,2600000,9100000,8,852,0,3.5,18000000,0.5055555555555555
1,0,3700000,8500000,20,853,0,2.2972972972972974,26400000,0.32196969696969696
0,0,8800000,30900000,12,729,0,3.5113636363636362,39500000,0.7822784810126582
1,0,2100000,4700000,2,546,1,2.238095238095238,16400000,0.2865853658536585
0,1,900000,2400000,10,489,1,2.6666666666666665,4100000,0.5853658536585366
0,1,9800000,35400000,6,869,0,3.6122448979591835,63900000,0.5539906103286385
1,0,8000000,20000000,2,502,1,2.5,47800000,0.41841004184100417
0,0,9800000,38800000,8,652,0,3.9591836734693877,77300000,0.5019404915912031
1,1,300000,1100000,8,789,0,3.6666666666666665,1700000,0.6470588235294118
1,0,2700000,8100000,4,325,0,3.0,19100000,0.42408376963350786
0,1,7400000,19600000,2,716,0,2.6486486486486487,46300000,0.42332613390928725
0,0,9200000,34300000,18,523,1,3.7282608695652173,67500000,0.5081481481481481
1,0,9500000,22200000,20,352,1,2.336842105263158,62300000,0.3563402889245586
0,1,3800000,14400000,2,345,0,3.789473684210526,21800000,0.6605504587155964
0,0,8300000,19400000,18,649,0,2.3373493975903616,54200000,0.35793357933579334
0,1,2800000,7400000,18,666,0,2.642857142857143,12100000,0.6115702479338843
0,0,8600000,20900000,10,813,0,2.4302325581395348,54000000,0.387037037037037
1,0,5400000,16800000,10,599,0,3.111111111111111,34800000,0.4827586206896552
0,1,4200000,9400000,6,678,0,2.238095238095238,25800000,0.3643410852713178
1,0,5200000,12200000,20,513,1,2.3461538461538463,37600000,0.324468085106383
0,0,9400000,27900000,4,870,0,2.9680851063829787,41200000,0.6771844660194175
0,0,8800000,20400000,8,483,1,2.3181818181818183,54600000,0.37362637362637363
0,1,5900000,16700000,16,308,1,2.830508474576271,39000000,0.4282051282051282
0,1,1700000,4900000,16,591,0,2.8823529411764706,11400000,0.4298245614035088
1,0,7000000,23000000,10,886,0,3.2857142857142856,48000000,0.4791666666666667
1,0,1700000,4000000,6,829,0,2.3529411764705883,8500000,0.47058823529411764
1,0,1500000,4900000,12,651,0,3.2666666666666666,9800000,0.5
1,0,2000000,4700000,18,733,0,2.35,17200000,0.27325581395348836
0,1,3900000,15500000,12,433,1,3.9743589743589745,27400000,0.5656934306569343
0,1,900000,3600000,14,713,0,4.0,5300000,0.6792452830188679
0,0,6900000,22500000,18,403,1,3.260869565217391,32400000,0.6944444444444444
0,1,2800000,7800000,10,405,1,2.7857142857142856,20800000,0.375
0,1,6800000,19900000,10,516,1,2.926470588235294,56500000,0.35221238938053095
1,1,600000,1800000,8,417,1,3.0,5000000,0.36
1,0,4700000,14000000,6,468,1,2.978723404255319,28300000,0.49469964664310956
0,1,3000000,11800000,10,672,0,3.933333333333333,26200000,0.45038167938931295
1,0,4000000,13900000,6,530,1,3.475,30100000,0.46179401993355484
1,1,3100000,11300000,14,824,0,3.6451612903225805,25100000,0.450199203187251
1,1,7700000,25500000,12,549,1,3.311688311688312,56200000,0.45373665480427045
1,1,4300000,9300000,10,450,1,2.1627906976744184,22900000,0.40611353711790393
0,1,5800000,19500000,20,431,1,3.3620689655172415,37700000,0.5172413793103449
0,1,3600000,10700000,16,312,1,2.9722222222222223,22200000,0.481981981981982
1,1,2900000,7600000,8,320,1,2.6206896551724137,26300000,0.2889733840304182
0,0,8800000,20200000,4,433,1,2.2954545454545454,63100000,0.3201267828843106
1,1,300000,1000000,10,431,1,3.3333333333333335,1900000,0.5263157894736842
1,1,8600000,28900000,8,516,1,3.36046511627907,48700000,0.5934291581108829
1,1,3500000,12000000,14,476,1,3.4285714285714284,23200000,0.5172413793103449
0,0,800000,2600000,6,560,0,3.25,4300000,0.6046511627906976
0,0,8000000,27100000,12,674,0,3.3875,46500000,0.5827956989247312
1,1,9900000,38200000,6,573,0,3.8585858585858586,53200000,0.7180451127819549
1,0,3300000,6600000,6,331,1,2.0,19900000,0.3316582914572864
0,1,2000000,6700000,12,633,0,3.35,7700000,0.8701298701298701
1,0,4900000,12900000,18,877,0,2.63265306122449,30000000,0.43
1,1,9200000,23600000,12,656,0,2.5652173913043477,53900000,0.437847866419295
1,0,7500000,18200000,6,782,0,2.4266666666666667,43300000,0.42032332563510394
1,0,9000000,29300000,4,531,0,3.2555555555555555,61200000,0.47875816993464054
1,0,1400000,4100000,8,455,1,2.9285714285714284,9400000,0.43617021276595747
0,0,9600000,19900000,14,452,1,2.0729166666666665,55500000,0.35855855855855856
0,0,8400000,33200000,14,474,1,3.9523809523809526,71500000,0.4643356643356643
1,0,6400000,24400000,4,483,0,3.8125,33800000,0.7218934911242604
0,0,5900000,16800000,8,481,1,2.847457627118644,41100000,0.40875912408759124
0,1,2200000,5100000,20,859,0,2.3181818181818183,14500000,0.35172413793103446
0,1,5600000,14100000,14,696,0,2.517857142857143,41500000,0.3397590361445783
1,0,9800000,28700000,6,778,0,2.9285714285714284,64800000,0.44290123456790126
0,0,4400000,14600000,4,499,0,3.3181818181818183,29600000,0.49324324324324326
1,1,2400000,4900000,4,888,0,2.0416666666666665,19200000,0.2552083333333333
0,0,4400000,10800000,12,674,0,2.4545454545454546,34800000,0.3103448275862069
0,0,3700000,13200000,4,802,0,3.5675675675675675,29000000,0.45517241379310347
1,1,2300000,7800000,8,540,1,3.391304347826087,12400000,0.6290322580645161
0,1,5900000,19600000,8,726,0,3.3220338983050848,52300000,0.37476099426386233
1,1,6400000,23500000,2,485,0,3.671875,37500000,0.6266666666666667
0,1,4900000,17100000,6,612,0,3.489795918367347,32800000,0.5213414634146342
1,1,9500000,24200000,8,879,0,2.5473684210526315,59400000,0.4074074074074074
1,0,5700000,16400000,12,708,0,2.8771929824561404,23900000,0.6861924686192469
1,1,2700000,5700000,8,850,0,2.111111111111111,22900000,0.24890829694323144
1,1,3900000,11300000,12,516,1,2.8974358974358974,18100000,0.6243093922651933
1,0,7800000,28800000,12,465,1,3.6923076923076925,48400000,0.5950413223140496
0,0,1100000,3200000,20,716,0,2.909090909090909,8300000,0.3855421686746988
1,0,200000,600000,10,404,1,3.0,500000,1.2
1,1,4700000,10600000,20,512,1,2.25531914893617,31700000,0.334384858044164
1,1,8200000,20600000,10,441,1,2.5121951219512195,62700000,0.32854864433811803
1,1,4600000,18400000,2,555,0,4.0,28500000,0.6456140350877193
1,0,1800000,7000000,18,466,1,3.888888888888889,12600000,0.5555555555555556
0,1,3200000,8600000,2,427,1,2.6875,17500000,0.49142857142857144
1,1,5500000,20000000,14,593,0,3.6363636363636362,42600000,0.4694835680751174
0,0,7900000,18300000,10,731,0,2.3164556962025316,38200000,0.4790575916230366
0,1,4000000,10100000,16,451,1,2.525,29100000,0.3470790378006873
1,1,6800000,16900000,18,628,0,2.485294117647059,25000000,0.676
1,0,2700000,9400000,18,704,0,3.4814814814814814,16400000,0.573170731707317
1,0,6800000,23500000,12,341,1,3.4558823529411766,53900000,0.4359925788497217
0,0,8600000,21000000,8,465,1,2.441860465116279,56000000,0.375
0,0,8000000,30100000,4,431,0,3.7625,56000000,0.5375
0,1,3700000,12600000,10,424,1,3.4054054054054053,25100000,0.50199203187251
0,0,2600000,5100000,14,678,0,1.9615384615384615,10800000,0.4722222222222222
0,0,4200000,16800000,6,381,1,4.0,34100000,0.49266862170087977
0,1,8000000,28000000,10,449,1,3.5,41300000,0.6779661016949152
1,0,7100000,23500000,12,768,0,3.3098591549295775,48200000,0.487551867219917
1,0,2000000,7000000,6,666,1,3.5,6900000,1.0144927536231885
1,1,5800000,13300000,14,742,0,2.293103448275862,48700000,0.2731006160164271
1,1,6700000,15800000,4,445,1,2.3582089552238807,41300000,0.38256658595641646
0,0,7300000,28700000,14,634,0,3.9315068493150687,41700000,0.6882494004796164
1,0,3300000,9700000,14,782,0,2.9393939393939394,15100000,0.6423841059602649
0,0,3000000,7000000,10,781,0,2.3333333333333335,22200000,0.3153153153153153
1,0,7900000,17200000,14,318,1,2.1772151898734178,55900000,0.3076923076923077
1,0,7600000,24100000,18,721,0,3.1710526315789473,63500000,0.3795275590551181
1,0,3700000,9800000,4,563,0,2.6486486486486487,28800000,0.3402777777777778
1,0,8400000,26300000,4,419,0,3.130952380952381,66200000,0.3972809667673716
0,1,8200000,20800000,14,372,1,2.5365853658536586,35200000,0.5909090909090909
1,0,2900000,9500000,18,885,0,3.2758620689655173,16600000,0.572289156626506
1,1,9900000,38400000,12,596,0,3.878787878787879,62600000,0.6134185303514377
0,0,4400000,14100000,2,349,0,3.2045454545454546,19600000,0.7193877551020408
